Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
11;58530;"National Vital Statistics Reports";book series;"15518922, 15518930";"National Center for Health Statistics";No;No;21,728;Q1;123;17;40;323;1456;40;34,45;19,00;69,57;6;United States;Northern America;"National Center for Health Statistics";"1998-2025";"Life-span and Life-course Studies (Q1)";"Social Sciences"
12;29719;"Reviews of Modern Physics";journal;"00346861, 15390756";"American Physical Society";No;No;21,151;Q1;417;33;117;13799;6338;113;47,45;418,15;9,68;0;United States;Northern America;"American Physical Society";"1929-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
13;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;20,361;Q1;399;116;352;6975;4171;351;10,63;60,13;18,03;50;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
14;16115;"Nature Biotechnology";journal;"15461696, 10870156";"Nature Research";No;No;20,120;Q1;553;331;1033;7069;21619;504;21,31;21,36;34,81;49;United Kingdom;Western Europe;"Nature Research";"1985, 1987, 1989-2026";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
15;23340;"Chemical Reviews";journal;"15206890, 00092665";"American Chemical Society";No;No;18,718;Q1;905;279;717;119296;46464;685;62,91;427,58;28,63;11;United States;Northern America;"American Chemical Society";"1924-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
16;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;18,476;Q1;235;83;243;4421;2444;241;9,39;53,27;13,73;73;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
17;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;17,897;Q1;1495;2149;7665;52777;163099;3722;24,09;24,56;37,59;496;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
18;20651;"Annual Review of Immunology";book series;"15453278, 07320582";"Annual Reviews Inc.";No;No;17,814;Q1;349;30;85;5949;3028;85;33,22;198,30;43,16;2;United States;Northern America;"Annual Reviews Inc.";"1983-2025";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
19;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"SAGE Publications Ltd";No;No;17,357;Q1;228;28;89;2960;1021;83;11,47;105,71;45,00;9;United States;Northern America;"SAGE Publications Ltd";"1975-1987, 1989-1990, 1993-1994, 1996-2026";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
20;21318;"Nature Reviews Immunology";journal;"14741741, 14741733";"Nature Research";No;No;17,109;Q1;511;161;515;9099;16189;280;32,82;56,52;36,22;29;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
21;12464;"Nature Reviews Cancer";journal;"1474175X, 14741768";"Nature Research";No;No;16,955;Q1;548;105;337;9854;9632;186;27,91;93,85;36,27;5;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
22;21100812579;"Nature Energy";journal;"20587546";"Springer Nature";No;No;16,736;Q1;291;199;635;6210;18174;377;26,43;31,21;24,94;56;United States;Northern America;"Springer Nature";"2016-2026";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
23;18990;"Nature Genetics";journal;"10614036, 15461718";"Nature Research";No;No;16,517;Q1;679;215;662;10873;16827;495;24,32;50,57;38,71;36;United Kingdom;Western Europe;"Nature Research";"1992-2026";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
24;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";"Centers for Disease Control and Prevention (CDC)";Yes;No;16,513;Q1;283;387;1088;2642;21871;778;24,71;6,83;60,36;150;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1981-2026";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
25;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;16,463;Q1;386;79;217;4143;1816;213;7,00;52,44;14,46;66;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
26;16590;"The Lancet";journal;"01406736, 1474547X";"Elsevier B.V.";No;No;15,652;Q1;982;1353;4579;22550;90112;1217;23,28;16,67;48,22;0;United Kingdom;Western Europe;"Elsevier B.V.";"1823-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
27;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;15,527;Q1;184;90;208;4870;1442;208;6,43;54,11;13,53;76;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
28;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;14,781;Q1;132;18;80;4228;1583;79;17,39;234,89;41,07;4;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
29;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;14,589;Q1;1433;2976;9326;47155;148010;4215;15,63;15,85;33,00;359;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
30;23350;"Chemical Society Reviews";journal;"03060012, 14604744";"Royal Society of Chemistry";No;No;14,529;Q1;709;383;789;93637;42572;777;55,71;244,48;29,37;8;United Kingdom;Western Europe;"Royal Society of Chemistry";"1972-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
31;20798;"Immunity";journal;"10974180, 10747613";"Cell Press";No;No;14,075;Q1;498;249;718;14682;19314;634;29,15;58,96;42,00;18;United States;Northern America;"Cell Press";"1994-2026";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
32;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";"IEEE Computer Society";No;No;13,737;-;666;1662;3743;86358;140187;3738;29,92;51,96;23,23;0;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2025";"Computer Vision and Pattern Recognition; Software";"Computer Science"
33;17900156715;"IEEE Communications Surveys and Tutorials";journal;"1553877X";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;13,519;Q1;314;86;345;16573;14477;336;42,65;192,71;19,34;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2004-2026";"Electrical and Electronic Engineering (Q1)";"Engineering"
34;21101041613;"The Lancet Microbe";journal;"26665247";"Elsevier Ltd";Yes;No;13,313;Q1;67;140;93;2587;1650;23;17,74;18,48;41,53;0;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2026";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
35;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;13,206;Q1;45;6;13;1842;678;13;54,44;307,00;24,00;1;United States;Northern America;"Now Publishers Inc";"2008-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
36;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;13,199;Q1;242;93;211;4290;1301;199;5,20;46,13;10,26;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
37;16801;"Annual Review of Biochemistry";book series;"15454509, 00664154";"Annual Reviews Inc.";No;No;13,085;Q1;342;32;102;4872;2837;102;26,94;152,25;23,94;1;United States;Northern America;"Annual Reviews Inc.";"1946-1948, 1950-1960, 1962-2025";"Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology"
38;24004;"Physiological Reviews";journal;"15221210, 00319333";"American Physiological Society";No;No;13,021;Q1;417;39;139;17956;6685;134;46,28;460,41;37,50;6;United States;Northern America;"American Physiological Society";"1945-2026";"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
39;6200180159;"World Psychiatry";journal;"20515545, 17238617";"John Wiley and Sons Inc";Yes;No;12,991;Q1;170;93;302;3479;4028;67;14,45;37,41;37,77;35;United States;Northern America;"John Wiley and Sons Inc";"2007-2026";"Psychiatry and Mental Health (Q1)";"Medicine"
40;21100862548;"Nature Catalysis";journal;"25201158";"Nature Publishing Group";No;No;12,887;Q1;188;157;516;5743;12941;380;22,67;36,58;27,76;3;United States;Northern America;"Nature Publishing Group";"2018-2026";"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
41;26651;"Annual Review of Astronomy and Astrophysics";book series;"15454282, 00664146";"Annual Reviews Inc.";No;No;12,750;Q1;227;12;50;2858;1678;47;34,06;238,17;37,50;0;United States;Northern America;"Annual Reviews Inc.";"1980, 1990-2025";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
42;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";"Springer International Publishing AG";Yes;Yes;12,365;Q1;107;5;17;1931;709;17;36,70;386,20;7,14;0;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
43;17854;"Nature Materials";journal;"14764660, 14761122";"Nature Publishing Group";No;No;12,229;Q1;608;295;782;11022;19474;538;23,51;37,36;25,23;17;United Kingdom;Western Europe;"Nature Publishing Group";"2002-2026";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
44;21100778827;"Nature Methods";journal;"15487091, 15487105";"Nature Research";No;No;12,115;Q1;432;305;1068;8303;14495;708;13,62;27,22;28,28;24;United Kingdom;Western Europe;"Nature Research";"2004-2026";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
45;17436;"Nature Neuroscience";journal;"10976256, 15461726";"Nature Research";No;No;12,017;Q1;515;204;646;9391;13329;596;19,70;46,03;38,51;14;United Kingdom;Western Europe;"Nature Research";"1998-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
46;21100860945;"Science Immunology";journal;"24709468";"American Association for the Advancement of Science";No;No;11,962;Q1;136;187;342;10123;6968;311;23,00;54,13;43,25;9;United States;Northern America;"American Association for the Advancement of Science";"2016-2026";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
47;21100826569;"Nature Reviews Chemistry";journal;"23973358";"Nature Publishing Group";No;No;11,811;Q1;153;98;265;8014;4740;150;17,19;81,78;29,74;4;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
48;17700156734;"Nature Reviews Clinical Oncology";journal;"17594782, 17594774";"Nature Publishing Group";No;No;11,764;Q1;259;125;515;8209;10024;229;17,44;65,67;33,99;15;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Oncology (Q1)";"Medicine"
49;12354;"The Lancet Oncology";journal;"14702045, 14745488";"Elsevier Ltd";No;No;11,710;Q1;455;489;1610;7540;21062;586;14,42;15,42;37,34;0;United Kingdom;Western Europe;"Elsevier Ltd";"2000-2026";"Oncology (Q1)";"Medicine"
50;5200152704;"Nature Nanotechnology";journal;"17483387, 17483395";"Nature Research";No;No;11,698;Q1;467;220;707;9371;17204;414;23,38;42,60;30,13;20;United Kingdom;Western Europe;"Nature Research";"2006-2026";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy"
51;16860;"The Lancet Neurology";journal;"14744465, 14744422";"Elsevier Ltd";No;No;11,674;Q1;398;264;791;4418;12099;289;16,82;16,73;39,41;0;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2026";"Neurology (clinical) (Q1)";"Medicine"
52;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;11,670;Q1;268;162;366;9314;2854;366;7,85;57,49;18,50;116;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;17500155114;"Energy and Environmental Science";journal;"17545692, 17545706";"Royal Society of Chemistry";No;No;11,558;Q1;491;390;903;41670;33698;896;35,22;106,85;27,10;36;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2026";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science"
54;21100804406;"The Lancet Public Health";journal;"24682667";"Elsevier Ltd";Yes;No;11,372;Q1;123;163;477;3677;7344;143;19,07;22,56;43,12;0;United Kingdom;Western Europe;"Elsevier Ltd";"2016-2026";"Public Health, Environmental and Occupational Health (Q1)";"Medicine"
55;20425;"Nature Reviews Drug Discovery";journal;"14741784, 14741776";"Nature Research";No;No;11,296;Q1;428;242;686;7098;11735;226;17,22;29,33;30,66;17;United Kingdom;Western Europe;"Nature Research";"2002-2026";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
56;21100220495;"The Lancet Respiratory Medicine";journal;"22132619, 22132600";"Elsevier Ltd";No;No;11,120;Q1;212;354;878;5593;13655;298;19,11;15,80;44,39;0;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2026";"Pulmonary and Respiratory Medicine (Q1)";"Medicine"
57;5700165152;"Nature Photonics";journal;"17494885, 17494893";"Nature Research";No;No;10,991;Q1;429;172;567;5557;12283;326;21,97;32,31;19,39;1;United Kingdom;Western Europe;"Nature Research";"2007-2026";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
58;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;10,874;Q1;410;81;235;8862;2719;234;9,26;109,41;34,00;2;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
59;21100834904;"Joule";journal;"25424351";"Cell Press";No;No;10,451;Q1;252;243;754;13150;21568;587;27,56;54,12;25,42;49;United States;Northern America;"Cell Press";"2017-2026";"Energy (miscellaneous) (Q1)";"Energy"
60;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;10,418;Q1;355;209;400;11709;3402;399;7,00;56,02;19,05;161;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
61;22471;"The Lancet Infectious Diseases";journal;"14744457, 14733099";"Elsevier Ltd";No;No;10,236;Q1;317;544;1400;7978;20029;510;16,69;14,67;43,20;0;United Kingdom;Western Europe;"Elsevier Ltd";"2001-2026";"Infectious Diseases (Q1)";"Medicine"
62;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";"Centers for Disease Control and Prevention (CDC)";Yes;No;10,129;Q1;121;11;52;478;2286;47;28,97;43,45;78,02;3;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2009, 2011-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
63;11300153736;"Annual Review of Pathology: Mechanisms of Disease";book series;"15534006, 15534014";"Annual Reviews Inc.";No;No;10,113;Q1;162;43;56;6358;1868;56;33,43;147,86;40,00;2;United States;Northern America;"Annual Reviews Inc.";"2006-2021, 2023-2026";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
64;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;10,079;Q1;124;38;135;1981;1047;135;7,37;52,13;26,04;33;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
65;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;9,975;Q1;436;203;515;8163;12133;420;21,01;40,21;43,04;20;United States;Northern America;"Cell Press";"2002-2026";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
66;18606;"Molecular Cell";journal;"10974164, 10972765";"Cell Press";No;No;9,959;Q1;473;447;1224;26826;19965;1140;15,84;60,01;36,26;7;United States;Northern America;"Cell Press";"1997-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
67;19014;"Nature Cell Biology";journal;"14764679, 14657392";"Nature Research";No;No;9,897;Q1;431;180;539;6710;10041;427;19,87;37,28;39,04;7;United Kingdom;Western Europe;"Nature Research";"1999-2026";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
68;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;9,804;Q1;96;45;110;2405;644;110;5,90;53,44;17,31;42;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
69;21100237403;"The Lancet Diabetes and Endocrinology";journal;"22138595, 22138587";"Elsevier Ltd";No;No;9,767;Q1;207;167;628;4293;7363;238;11,70;25,71;43,75;0;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2026";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
70;22401;"Journal of the American College of Cardiology";journal;"15583597, 07351097";"Elsevier Inc.";No;No;9,756;Q1;531;797;2888;20969;30426;1205;10,17;26,31;29,83;84;United States;Northern America;"Elsevier Inc.";"1983-2026";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
71;21100773752;"Nature Microbiology";journal;"20585276";"Nature Research";No;No;9,690;Q1;176;180;691;8422;13379;488;22,04;46,79;37,67;28;United Kingdom;Western Europe;"Nature Research";"2016-2026";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
72;26756;"Astronomy and Astrophysics Review";journal;"09354956, 14320754";"Springer Science and Business Media Deutschland GmbH";Yes;No;9,607;Q1;89;9;21;3625;577;21;30,40;402,78;24,56;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1989-2000, 2002-2004, 2006-2025";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
73;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";"Annual Reviews Inc.";Yes;No;9,575;Q1;320;53;87;5560;2715;87;28,97;104,91;37,17;6;United States;Northern America;"Annual Reviews Inc.";"1996-2025";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
74;21706;"Annual Review of Genetics";book series;"15452948, 00664197";"Annual Reviews Inc.";No;No;9,498;Q1;214;28;71;4534;1312;71;13,72;161,93;36,36;0;United States;Northern America;"Annual Reviews Inc.";"1970-2025";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
75;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;9,445;Q1;199;25;74;4117;907;74;12,00;164,68;19,05;10;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
76;23157;"Strategic Management Journal";journal;"10970266, 01432095";"John Wiley and Sons Ltd";No;No;9,443;Q1;370;89;321;6944;3024;316;6,52;78,02;24,20;32;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1980-2026";"Business and International Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
77;19700188417;"Annual Review of Condensed Matter Physics";journal;"19475454, 19475462";"Annual Reviews Inc.";No;No;9,438;Q1;102;14;69;1593;1458;69;24,44;113,79;16,67;0;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)";"Materials Science; Physics and Astronomy"
78;17700156208;"Nature Reviews Gastroenterology and Hepatology";journal;"17595045, 17595053";"Nature Research";No;No;9,409;Q1;236;161;434;10096;9140;249;22,36;62,71;33,73;21;United Kingdom;Western Europe;"Nature Research";"2009-2026";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
79;29949;"Journal of Clinical Oncology";journal;"15277755, 0732183X";"Lippincott Williams and Wilkins";No;No;9,378;Q1;666;525;1726;16804;28821;1187;16,39;32,01;38,92;0;United States;Northern America;"Lippincott Williams and Wilkins";"1983-2026";"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
80;5300152732;"Cell Host and Microbe";journal;"19346069, 19313128";"Cell Press";No;No;9,373;Q1;270;194;609;10009;12410;528;21,00;51,59;40,94;28;United States;Northern America;"Cell Press";"2007-2026";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
81;40944;"Genome Biology";journal;"1474760X, 14747596";"BioMed Central Ltd";Yes;No;9,371;Q1;332;340;801;22641;12837;776;15,83;66,59;35,52;15;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2026";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
